Time,P1
0.0,11.077777777777778
29.0,11.366666666666667
60.0,13.1
90.0,11.988888888888889
150.0,13.1
210.0,12.3
269.0,12.38888888888889
330.0,13.41111111111111
390.0,13.244444444444444
